,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Unnamed: 64
45134,Cambodia,KHM,"Expected years of schooling, male",SE.SCH.LIFE.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.44608,8.99605,10.12561,,10.73711,,11.01262,11.18667,11.17731,,,,,,,,,,,,
45703,Cameroon,CMR,"Expected years of schooling, female",SE.SCH.LIFE.FE,,,,,,,,,,,,5.22547006607056,5.26113986968994,5.3335599899292,5.69178009033203,5.71041011810303,,,,,,,,,,,,,,,,,,,,,,,,,,7.82746,7.3012,7.69598,7.66743,7.58257,7.39283,8.14769,8.51679,9.05001,,9.73994,10.36868,,10.99441,11.33327,11.33539,,,,
45704,Cameroon,CMR,"Expected years of schooling, male",SE.SCH.LIFE.MA,,,,,,,,,,,,7.53050994873047,7.38551998138428,7.42645978927612,7.80710983276367,7.83788013458252,,,,,,,,,,,,,,,,,,,,,,,,,,9.27429,9.25642,9.14217,9.19987,9.2486,8.99099,9.77797,10.19003,10.6822,,11.46586,12.03584,,12.67111,12.95988,12.8645,,,,
46273,Canada,CAN,"Expected years of schooling, female",SE.SCH.LIFE.FE,,,,,,,,,,,,,,,,,13.5676403045654,,,,,,,,,,,,,16.1398105621338,17.2426490783691,17.599479675293,17.7436408996582,17.1436004638672,17.2341499328613,17.266960144043,17.3147792816162,,16.3691902160645,16.3866004943848,16.30158,,,,,,,15.59182,15.59962,15.6734,15.54195,15.67426,16.1396,16.23355,16.31387,16.42599,16.52371,16.66986,,,
46274,Canada,CAN,"Expected years of schooling, male",SE.SCH.LIFE.MA,,,,,,,,,,,,,,,,,13.9304704666138,,,,,,,,,,,,,16.6184501647949,16.3124694824219,16.6730403900146,16.8035297393799,16.5681495666504,16.69580078125,16.6385898590088,16.6182193756104,,15.7746496200562,15.5662298202515,15.48006,,,,,,,14.81405,14.77655,14.81006,14.71891,14.81592,15.19738,15.25985,15.31165,15.3813,15.51389,15.66355,,,
46843,Cayman Islands,CYM,"Expected years of schooling, female",SE.SCH.LIFE.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46844,Cayman Islands,CYM,"Expected years of schooling, male",SE.SCH.LIFE.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47413,Central African Republic,CAF,"Expected years of schooling, female",SE.SCH.LIFE.FE,,,,,,,,,,,,,,,,,,,,3.43025994300842,3.62491989135742,3.68725991249084,3.83903002738953,,,,4.34135007858276,,3.71058988571167,,3.95679998397827,3.76894998550415,3.25559997558594,,,,,,,,,,,,,,,,,5.1973,,,5.60085,,,,,,,,
47414,Central African Republic,CAF,"Expected years of schooling, male",SE.SCH.LIFE.MA,,,,,,,,,,,,,,,,,,,,6.8755202293396,6.80078983306885,7.0588002204895,7.49198007583618,,,,7.6385498046875,,6.63311004638672,,6.82513999938965,6.35338020324707,5.31081008911133,,,,,,,,,,,,,,,,,7.58882,,,8.09049,,,,,,,,
47983,Chad,TCD,"Expected years of schooling, female",SE.SCH.LIFE.FE,,,,,,,,,,,,0.987489998340607,0.969879984855652,,1.0161999464035,,,,,,,,,,,1.27251994609833,,,,,,,,,,,2.15761995315552,2.52792000770569,2.90436005592346,,3.35908,3.63485,3.90506,4.05237,4.11734,4.03729,,,4.73011,5.03824,5.12136,5.73032,,,6.29509,5.88082,,,,,
47984,Chad,TCD,"Expected years of schooling, male",SE.SCH.LIFE.MA,,,,,,,,,,,,3.17632007598877,3.13860011100769,,3.21023988723755,,,,,,,,,,,3.76933002471924,,,,,,,,,,,4.85768985748291,5.41031980514526,6.03506994247437,,6.31728,6.60773,6.89796,7.03191,7.12017,6.87369,,,7.70838,8.20375,8.09859,8.75721,,,9.45432,8.80852,,,,,
